customer_id,name,phone,email,address
1,Carolyn Allen,(192) 973-7813,carolyn.allen502@hotmail.com,3572 Market Street Apt 88
2,Matthew Nguyen,(505) 789-7049,matthew.nguyen967@yahoo.com,6778 River Street
3,Evelyn Lee,(613) 973-9973,evelyn.lee169@outlook.com,165 Market Road Apt 345
4,Evelyn Mitchell,(891) 769-9385,evelyn.mitchell175@yahoo.com,8779 Church Road Apt 153
5,Diane Miller,(377) 920-9264,diane.miller343@icloud.com,6331 Pine Street
6,Heather Torres,(252) 847-3664,heather.torres430@hotmail.com,5352 Oak Street Apt 40
7,Julie Mitchell,(398) 623-8409,julie.mitchell795@gmail.com,581 Park Place
8,Kathryn Sanchez,(781) 210-3777,kathryn.sanchez993@outlook.com,1252 Fourth Street Apt 421
9,Brian Perez,(521) 899-7020,brian.perez404@outlook.com,977 First Circle Apt 168
10,Marie Jones,(638) 183-7755,marie.jones279@gmail.com,7783 Hill Street
11,Kathleen Mitchell,(350) 622-5110,kathleen.mitchell482@hotmail.com,1279 Second Way
12,Laura Carter,(310) 689-2911,laura.carter806@gmail.com,583 Elm Road
13,Daniel Williams,(851) 160-6982,daniel.williams375@gmail.com,8334 High Boulevard
14,Ruth Thomas,(598) 313-4925,ruth.thomas767@icloud.com,3334 Church Drive Apt 173
15,Frances Johnson,(212) 111-6267,frances.johnson929@outlook.com,2013 First Court Apt 181
16,Kathryn Martinez,(476) 888-1043,kathryn.martinez441@hotmail.com,7271 School Place
17,Elizabeth Johnson,(846) 999-6296,elizabeth.johnson105@hotmail.com,3420 First Lane
18,Hannah Flores,(840) 214-8420,hannah.flores125@gmail.com,4263 Maple Place Apt 436
19,Virginia Garcia,(795) 116-8397,virginia.garcia564@yahoo.com,Storage Facility O - 4733 Second Drive
20,Steven Nelson,(521) 903-7978,steven.nelson655@icloud.com,7387 Maple Lane
21,Pamela Johnson,(411) 289-4504,pamela.johnson846@gmail.com,6932 Washington Avenue Apt 94
22,Beverly Carter,(733) 797-1411,beverly.carter842@icloud.com,3159 Elm Avenue Apt 246
23,Shirley Baker,(138) 564-7194,shirley.baker761@icloud.com,8330 Cedar Road
24,Samantha Robinson,(444) 586-3551,samantha.robinson551@yahoo.com,8270 Pine Drive Apt 163
25,Patricia Moore,(324) 907-6030,patricia.moore464@outlook.com,2629 Main Court Apt 233
26,Virginia Williams,(589) 432-3748,virginia.williams623@icloud.com,1360 High Way Apt 330
27,Jacqueline Moore,(138) 433-6739,jacqueline.moore788@hotmail.com,5806 Second Road
28,Patricia Williams,(386) 746-7354,patricia.williams807@yahoo.com,3808 Pine Avenue Apt 57
29,Nancy Clark,(514) 181-2936,nancy.clark165@yahoo.com,7637 Fourth Boulevard
30,Mark King,(759) 488-4386,mark.king380@yahoo.com,1855 Maple Lane Apt 462
31,Patricia Martinez,(465) 624-6702,patricia.martinez455@gmail.com,6951 Fourth Circle
32,Diane Hernandez,(997) 311-8498,diane.hernandez649@gmail.com,782 Park Boulevard Apt 78
33,Madison Perez,(113) 361-6324,madison.perez913@gmail.com,Storage Facility I - 9019 Fourth Drive
34,Judith Flores,(748) 400-6894,judith.flores627@hotmail.com,5019 Oak Place
35,Heather Hall,(836) 759-6022,heather.hall361@hotmail.com,828 Park Boulevard Apt 375
36,Abigail Thomas,(388) 710-8654,abigail.thomas693@hotmail.com,9768 Valley Place Apt 407
37,Kelly Nguyen,(933) 540-7276,kelly.nguyen92@gmail.com,2080 Oak Lane
38,Paul Carter,(759) 819-5166,paul.carter922@gmail.com,7939 School Road Apt 328
39,Catherine Allen,(650) 675-4993,catherine.allen584@icloud.com,8870 Pine Place
40,Brenda Jackson,(593) 292-5896,brenda.jackson683@hotmail.com,700 Elm Avenue Apt 132
41,Paul Moore,(814) 920-2819,paul.moore64@hotmail.com,1546 Main Lane
42,Sandra Robinson,(234) 365-1334,sandra.robinson734@outlook.com,9325 Market Court
43,Robert Martinez,(749) 566-7718,robert.martinez643@hotmail.com,Storage Facility N - 6026 High Court
44,David Rivera,(349) 615-7569,david.rivera490@icloud.com,3766 Valley Lane
45,George Robinson,(972) 150-6912,george.robinson623@outlook.com,1690 First Avenue Apt 228
46,Rachel Rivera,(620) 329-8505,rachel.rivera2@icloud.com,1295 Cedar Avenue
47,Mary Smith,(997) 533-8822,mary.smith620@outlook.com,924 Main Lane Apt 286
48,Victoria Nelson,(250) 537-4504,victoria.nelson640@hotmail.com,7303 Main Boulevard
49,Jean Hernandez,(855) 291-8427,jean.hernandez356@gmail.com,3838 Second Boulevard
50,Amanda Perez,(386) 411-8902,amanda.perez59@hotmail.com,Storage Facility O - 6599 Maple Boulevard
51,Emily Thomas,(606) 234-5167,emily.thomas670@gmail.com,5914 Lake Avenue
52,Madison Mitchell,(751) 785-6334,madison.mitchell709@hotmail.com,4679 Market Court
53,Jennifer Baker,(640) 727-4895,jennifer.baker306@icloud.com,4044 Pine Place
54,Kimberly Flores,(682) 518-1072,kimberly.flores9@outlook.com,Storage Facility A - 2076 Main Place
55,Jessica King,(313) 839-2727,jessica.king375@outlook.com,5205 School Lane Apt 324
